npi,uuid
1700238722,4355224c-46c6-4840-9229-e9edb26b5fef
1770750044,4355224c-46c6-4840-9229-e9edb26b5fef
1801055223,4355224c-46c6-4840-9229-e9edb26b5fef
1093996233,4355224c-46c6-4840-9229-e9edb26b5fef
1538113931,4355224c-46c6-4840-9229-e9edb26b5fef
1376500587,4355224c-46c6-4840-9229-e9edb26b5fef
1699723957,4355224c-46c6-4840-9229-e9edb26b5fef
1831515865,4355224c-46c6-4840-9229-e9edb26b5fef
1033156773,4355224c-46c6-4840-9229-e9edb26b5fef
1386220531,4355224c-46c6-4840-9229-e9edb26b5fef
1467740191,4355224c-46c6-4840-9229-e9edb26b5fef
1104184944,4355224c-46c6-4840-9229-e9edb26b5fef
1659909422,4355224c-46c6-4840-9229-e9edb26b5fef
1659867406,4355224c-46c6-4840-9229-e9edb26b5fef
1740517499,4355224c-46c6-4840-9229-e9edb26b5fef
1568948610,4355224c-46c6-4840-9229-e9edb26b5fef
1720344732,4355224c-46c6-4840-9229-e9edb26b5fef
1891115408,4355224c-46c6-4840-9229-e9edb26b5fef
1801327341,4355224c-46c6-4840-9229-e9edb26b5fef
1346342342,4355224c-46c6-4840-9229-e9edb26b5fef
1154617835,4355224c-46c6-4840-9229-e9edb26b5fef
1336374529,4355224c-46c6-4840-9229-e9edb26b5fef
1346446275,4355224c-46c6-4840-9229-e9edb26b5fef
1518491307,4355224c-46c6-4840-9229-e9edb26b5fef
1487018461,4355224c-46c6-4840-9229-e9edb26b5fef
1952527012,4355224c-46c6-4840-9229-e9edb26b5fef
1790782613,4355224c-46c6-4840-9229-e9edb26b5fef
1760751903,4355224c-46c6-4840-9229-e9edb26b5fef
1194141689,4355224c-46c6-4840-9229-e9edb26b5fef
1790903805,4355224c-46c6-4840-9229-e9edb26b5fef
1992288989,4355224c-46c6-4840-9229-e9edb26b5fef
1912475872,4355224c-46c6-4840-9229-e9edb26b5fef
1861607418,4355224c-46c6-4840-9229-e9edb26b5fef
1184076135,4355224c-46c6-4840-9229-e9edb26b5fef
1255714820,4355224c-46c6-4840-9229-e9edb26b5fef
1346314507,4355224c-46c6-4840-9229-e9edb26b5fef
1528009198,4355224c-46c6-4840-9229-e9edb26b5fef
1710587712,4355224c-46c6-4840-9229-e9edb26b5fef
1912460734,4355224c-46c6-4840-9229-e9edb26b5fef
1174906002,4355224c-46c6-4840-9229-e9edb26b5fef
1861791329,4355224c-46c6-4840-9229-e9edb26b5fef
1407380603,4355224c-46c6-4840-9229-e9edb26b5fef
1215347828,4355224c-46c6-4840-9229-e9edb26b5fef
1083623193,4355224c-46c6-4840-9229-e9edb26b5fef
1093176901,4355224c-46c6-4840-9229-e9edb26b5fef
1396131850,4355224c-46c6-4840-9229-e9edb26b5fef
1962660803,4355224c-46c6-4840-9229-e9edb26b5fef
1699238550,4355224c-46c6-4840-9229-e9edb26b5fef
1972256295,4355224c-46c6-4840-9229-e9edb26b5fef
1629305784,4355224c-46c6-4840-9229-e9edb26b5fef
1558892059,4355224c-46c6-4840-9229-e9edb26b5fef
1154761716,4355224c-46c6-4840-9229-e9edb26b5fef
1669834602,4355224c-46c6-4840-9229-e9edb26b5fef
1316479926,4355224c-46c6-4840-9229-e9edb26b5fef
1083063531,4355224c-46c6-4840-9229-e9edb26b5fef
1205462330,4355224c-46c6-4840-9229-e9edb26b5fef
1770236093,4355224c-46c6-4840-9229-e9edb26b5fef
1881915239,4355224c-46c6-4840-9229-e9edb26b5fef
1972777589,4355224c-46c6-4840-9229-e9edb26b5fef
1285366013,4355224c-46c6-4840-9229-e9edb26b5fef
1720228778,4355224c-46c6-4840-9229-e9edb26b5fef
1871555649,4355224c-46c6-4840-9229-e9edb26b5fef
1104273549,4355224c-46c6-4840-9229-e9edb26b5fef
1407893738,4355224c-46c6-4840-9229-e9edb26b5fef
1023011137,4355224c-46c6-4840-9229-e9edb26b5fef
1366885840,4355224c-46c6-4840-9229-e9edb26b5fef
1801992813,4355224c-46c6-4840-9229-e9edb26b5fef
1619166675,4355224c-46c6-4840-9229-e9edb26b5fef
